premise,hypothesis,genre,label
"Its stately European-style buildings have since been restored, largely for use as government offices and foreign legations.",All buildings were restored to be used as government offices.,travel,1
"SCR systems can also use urea as a reagent, and it is becoming preferred to ammonia in many cases because of its safety.",Urea is only preferred because it is safer than ammonia.,government,1
"Cavendish, I much fear there is no coincidence there. ","I fear there is no coincidence there, but I suppose there's no convincing you otherwise. ",fiction,1
everybody pretty much keep keeps keeps to their own turf so to speak,They don't really speak to strangers. ,telephone,1
"The magazine market is less like a general election, in which the candidate with the higher negative rating always loses, than like a crowded primary, in which the fight for attention is crucial, and it's worth alienating some people in order to attract others.",A magazine will do almost anything to get attention.,slate,1
and your your husband probably remembers that better than i do i remember there was a time when they'd give you one or two dollars for your used tire now they charge you two dollars for your used tire,Nowadays people dump their used tires at night rather than pay the fee to dispose of them properly.,telephone,1
"Shall we, Tuppence? ",Tuppence isn't ready to go?,fiction,1
A popular surfing beach adjoins the lagoon.,This is a very popular water skiing spot.,travel,1
"To use the Bush-appropriate metaphor, he's like a hitter facing a tough pitcher.","He seems like a hitter facing a tough pitcher, if we want to use a Bush-appropriate metaphor, says the TV show presenter.",slate,1
other agencies providing legal help and basic,There are many other agencies that provide legal help.,government,1
uh-huh that would merely make for some odd behavior on the on their part,That definitely explains their odd behavior. ,telephone,1
It has been suggested that it's impossible for any foreigner to understand the Israeli psyche.,Foreigner's are better off recruiting the help of a local to aid in communication.,travel,1
Same-sex marriage would have no direct effect on the rights and obligations of parenthood.,"While contested, it's clear same sex marriage has no direct effect on parenthood.",slate,1
The museum hosts and mounts temporary exhibits of contemporary artists.,The museum also hosts exhibits for classic artists.,travel,1
A bullet hole in the leg.,He got shot in the thigh and it went straight through.,fiction,1
"Yeah, except that your laptop got stuck again. From behind his desk Maurycy was wagging his finger, he was even lazier than Gonzo, but smarter than Lucja.",His laptop was stuck in the drawer.,fiction,1
and passed it on to people that were interested,People were interested because it was very rare.,telephone,1
Eat in the modern dining room of this old house or out on the busy street watching the nightly promenade.,"You can eat in the modern dining room or outside, but the views are best outside.",travel,1
"He was coming toward forested ground now, something like the country in which the Sons of the Egg had found refuge.",The forest was dense and dark.,fiction,1
"The report, 'Fields of Poison,' found that California farmworkers face greater risk of pesticide poisoning than any other segment of the population and are not adequately protected.",The report suggested ways to decrease California farmworkers exposure to toxic pesticides.,government,1
A pleasant drive 30 km (19 miles) northeast of Orange along the D975 takes you to the site of one of the most important towns of Roman Provence.,The Romans adored the Provence area and built many lavish chateaux there.,travel,1
"Accordingly, it raises the bar for all of us-those in positions of leadership, federal managers, employees, unions, and human capital executives and their teams.",It makes the standards higher for those in the government.,government,1
I quite understand that.,I understand this math topic.,fiction,1
The plaintiffs claim Penrose's design is distinguished by its aperiodicity (the pattern almost but never quite repeats itself) and its five-fold symmetry (a trait that at the time was thought not to exist in nature but has since been identified in certain crystal formations).,The design is considered to be quite ugly by most critics.,slate,1
"In Oregon, vote-by-mail took a decade to go from proposal to implementation because of skepticism by citizens and politicians.",More than half of the citizen were skeptical of vote-by-mail.,slate,1
the same person every day,The same person every day for a year.,telephone,1
yeah so basically if you want to take the risk,"If you want to take the risk, you can but I think it's a bad idea.",telephone,1
An identical chapel was built alongside this one in 1929 so that Goya's frescoes and remains could rest in relative peace.,The new chapel is used to perform services for local residents.,travel,1
inspect it and the kids want to swing and i push them on swing,"The kids like the swing in my yard, I push them on it.",telephone,1
"Gambling provides almost 40 percent of the government's tax revenues, and is a major source of employment.",Gambling also contributes to a lot of a lawlessness.,travel,1
but uh but you know it's good enough to eat and then um there's uh another place called Pancho's Course they have to have Mexican food and uh the uh,"Pancho's Course has been voted ""Best Mexican"" in our area.",telephone,1
How is that?,How does it taste?,fiction,1
The Cost of Universal Service Obligations in a Competitive Environment.,"The more competitive the environment, the greater service obligation cost must be reduced.",government,1
Surely home buyers are well aware that they're sacrificing mobility.,Home buyers are sad that they sacrifice mobility.,slate,1
"Oui, oui, je sais bien.",I have known about it for years.,fiction,1
", amounts deposited to receipt accounts), and (b) collections credited to appropriation or fund accounts.",Fund accounts can be used to fund any activity approved by a manager.,government,1
sure at least one,Just want one to try.,telephone,1
"When the supply ship crashed into the space station, Foale feared death by decompression.","The ship crashed into the space station, and Foale cried, fearing death.",slate,1
"One example is the 1981 legislation consolidating many small categorical grants into larger block grants, the funds for which could be spent very flexibly.","The 1981 legislation consolidated a lot of grants into larger ones, totalling about $10 million.",government,1
"At the same time, it would be wise to allay any suspicions he might have as to his being suspected. ",He is suspected of being one of the 10 Vampire Lords.,fiction,1
"The Company Man has been replaced by a fiercely independent gang of free agents, new nomads, and globalists, who write their own job descriptions, schedules, and rules.",The free agents have much power over the market.,slate,1
That's one piece of the larger truth at the heart of the family-values  Divorce and unwed motherhood are bad for kids.,Adults are affected negatively by previously divorced parents or single mothers.,slate,1
"The roof is covered in grass, making it the largest earth covered building in Britain.",The roof has been covered in grass since the 1950s.,travel,1
Are we for a single-rate flat tax?,There is much debate over a single-rate flat tax.,slate,1
"Even now, after weeks on the trail, with a day's burden of alkali dust grimed into his coat, the stud was a beautiful thing.",The weeks on the trail had  been rough and long. ,fiction,1
"Allowances are distributed to electricity generators, and the cap declines at specific intervals, 2010, and then again in 2018.","The allowances are less and less necessary, due to the constantly increasing generator efficiency.",government,1
so it's a shock,We are all traumatized by it.,telephone,1
Among the sickest patients waiting were some 12 who needed new heart valves.,The patients' hearts simply weren't strong enough.,slate,1
come home and get back into regular clothes again,Get out of that hot suit you're wearing.,telephone,1
"All the interesting sights around the capital make for an easy day trip by car or local train, enabling you to keep your Paris hotel if you wish (although you would probably enjoy a change of scene and find the local country inns less expensive).",It is smart to rent a bicycle to avoid the local traffic.,travel,1
"A veterinarian had reached inside and confirmed she was in heat, but after nine years of racing, she might not grasp the concept of being covered, as they say, by a 1,300-pound stallion.",She was being bred for her good bloodlines and her racing ability.,slate,1
so you graduating are graduating or yeah well maybe i don't know i'd uh i really haven't changed that much since i was in school in school um of course you know i'm not sure you ever get out of school to tell you the truth and uh,You don't ever get out of school because there are constantly things you need to be learning about.,telephone,1
One hundred sixty nine grantees reported they used such indirect service delivery models in 2001.,More grantees would have made use of indirect service delivery models if they were less costly.,government,1
"What about it, Kirby?","What about it, Kirby? Are you uncomfortable talking about that topic?",fiction,1
"In the past, it has been computed by dividing a program's annual LSC funding by its annual total cases closed.",It is a pretty straight forward approach to figure out. ,government,1
or is that what your into or,Are you interested in that thing or.,telephone,1
you don't like him,You will not change your mind about him.,telephone,1
yeah yeah and they still do he,They still do sometimes.,telephone,1
and the same thing you know every almost every college in Maryland is recycling office paper but you know in the giant bins around and it's surprising how much,the college in town recycled several tons of office paper last year,telephone,1
I'm done with living history.,I refuse to listen to historical stories.,fiction,1
Of course an actor ” ” But Poirot cut me short ruthlessly. ,Poirot had no qualms on intercepting our conversation. ,fiction,1
Janet Williams suggested the phrase information and communication technology.,The phrase information and communication technology that Janet Williams suggest was very valuable.,government,1
"Early in the war, the Republicans used their one battleship to support an invasion of Mallorca, but it ended in failure.",The battleship was the most dangerous ship in their navy.,travel,1
I found Paul Krugman's  somewhat puzzling.,I will give Paul Krugman another try.,slate,1
LSC funds local legal services programs to serve,Legal services programs serve a hundred thousand families each year.,government,1
"The drop-ship discount is, again, an obvious example.",The drop-ship discount is a great example of how mailers compete for customers.,government,1
The Six Major Puzzles in International  Is There a Common Cause?,There is a common cause between all six major puzzles. ,government,1
"7 million proposed for the Legal Aid Society by former Mayor Giuliani, bringing the total to just a shade over $60 million.","Mayor Guiliani proposed funds for Legal Aid, but it was much less than they expected.",government,1
"Jilted wives (the execs are overwhelmingly men) score huge court victories, winning money, property, and sometimes a large stake in their husbands' companies.","Jilted wives of executives score huge court victories including winning money, property, sometimes stake in their husbands' companies, as well as alimony depending on the length of their marriage. ",slate,1
"When high-status males leave their wives for a younger model, you can stigmatize them, damaging their social, and even professional, standing.","When stigmatizing a high-status male, there is a high risk of accidentally also stigmatizing the wife.",slate,1
I turned to the pony-trap. ,I turned to disable the pony trap that was set up on the narrow path. ,fiction,1
oh oh you're not you don't work for Texas Instruments oh okay,When did you start working for Texas Instruments?,telephone,1
and see i think ladies clothing um uh is a lot more varied than than than men's clothing because uh men or at least in my situation you can uh i can wear the same slacks and uh sports coats nearly nearly all year round,Men usually wear slacks and sport coats year-round.,telephone,1
The giant Times can't.,They tried but failed.,slate,1
It also acts as an incentive for agencies to be ever vigilant in their efforts to address the wasteful spending that results from lapses in controls that lead to improper payments.,This project helps to reduce the wasteful spending by predicting and fixing the lapses in controls that lead to improper payments.,government,1
"Names were still potent, resonance worked within its limits, and the general principles of similarity still applied; but those were not enough for them.",The power was very strong.,fiction,1
Did not Monsieur Lawrence make the sour face every time Mademoiselle Cynthia spoke and laughed with his brother? ,Lawrence was jealous to see Mademoiselle Cynthia talking to his brother.,fiction,1
Then we will offer suggestions for research and practice related to intervening effectively with alcohol problems in emergency settings.,We will suggest ways that research can solve alcohol problems among millenials. ,government,1
"A police helicopter was tumbling through the sky, tracing a rapid path back down to earth.",A helicopter was on fire and crashing to the ground. ,fiction,1
"The ground floor is devoted to sculpture, including many Roman copies of classics from Greece's Golden Age in the fifth century b.c. , which are our only access to these lost masterpieces.",The second floor also contains many sculptures.,travel,1
There's a returning kids-on-milk-cartons sense of hysteria to the whole crusade.,People can't seem to calm down about it.,slate,1
"Mark Shields looks directly at Robert Novak on Capital Gang and calls him Al Hunt, much to the amusement of the other panelists.",Mark Shields looked at Novack and called him a name that Novack was offended by.,slate,1
And one ...,Just this one.,slate,1
"There, by happy coincidence, the two alpha males (Kerchak the bull ape and the evil English hunter) are gone, clearing the way for the utopia of beta males and females.",One or two of the beta males will graduate to alpha males.,slate,1
"In the absence of legitimate campaign issues, he predicts, this could become a relative biggie.",The campaign has been running for four months.,slate,1
"Beatrix Potter spent many happy holidays here as a child with her parents, who were friends of Rochdale.",All friends of Rochdale enjoy relaxing here. ,travel,1
"The Palais des Beaux Arts (Place de la Republique) has a large collection including works by Rubens, Van Dyck, and Goya.",There are 849 paintings on display.,travel,1
"When you see the plays performed in the ancient theaters of classical or Roman times, such as those on Thasos or Kos, it makes it all worthwhile.",The ancient theaters are broken down.,travel,1
and the the home uh the family type unit you know and i think when kids have that they don't  get into as much trouble or seek to,The family who spends a lot of time together has the most successful children.,telephone,1
"In his multi-center study, interventionists felt restricted by a standard intervention, sensing that variation was needed to meet different clients' needs.",Interventionists were frustrated by their clients' need for variation.,government,1
He set up an intricate plan for military rebellion across the Reich and took it upon himself to bring a bomb into Hitler's Wolf's Lair compound in East Prussia.,Someone blew up Hitler's lair.,slate,1
"He handed Pondicherry over to India and in the North African colonies gave Tunisia its independence, but was ousted from office as hostilities broke out in Algeria.",He gave Pondicherry to India in exchange for some goods.,travel,1
None of the Jewish groups has reversed its support for Pollard's release.,Jewish groups have always supported Pollard's release.,slate,1
they don't even have social skills oh i don't know i really don't know i i think that if somebody asked me i would hesitantly say yes that i could could hand down a death sentence,there are several kinds of people i might hand a death sentence to,telephone,1
"I think not, he said firmly.",He had evidence that it was not like this.,fiction,1
The agency also has a lauded history of activism.,The agency has a history of activism in Chicago.,government,1
"But there is another reason, more tragic and ironic, why this gifted and imaginative guy seems less funny lately.",This guy used to be the world's best comedian.,slate,1
"These new agreements described how the sensitivity of information would be defined, how shared information would be protected from dissemination outside the group, and what information could be shared with nonmembers.",All information will be sensitive information for the group.,government,1
but it's kind of understood that we're supposed to dress a little bit nice a lot of times we have to go over to uh like Jerry Junkins' office and Bill Ellsworth's office to deliver stuff,We know that its required to dress nice for this,telephone,1
well no what we did was wind up using and you just go you just go down and and you get out the the so many inches and and we just marked a little bit less than that uh which is somewhat awkward but had it been millimeters you could have done i think what's interesting the way engineering people do is they they in essence have gotten around it by by listing uh decimal inches,Things would be much simpler if everyone decided to use metric.,telephone,1
one day i gave her the checkbook and i said i'm not doing this anymore you do it you learn it and i've been happy ever since,She took the checkbook and learned to do it in a week.,telephone,1
Dayton Ohio i'm from North Carolina,"I'm from Charlotte, North Carolina. ",telephone,1
"The strain of it was awful, though … ""They took me back to Ireland, and over every step of the Journey again, in case I'd hidden it somewhere en route.","They took me to Ireland, England, France, and many other places to look.",fiction,1
yeah i've heard of them,I haven't been there but have heard of them.,telephone,1
Such controls are critical to determining the reliability of interim reporting and various ongoing assertions by the company throughout the year.,Interim reporting is not possible without such controls.,government,1
Health status prior to exposure also affects susceptibility.,Medical history before exposure is a minor factor impacting susceptibility.,government,1
"HMOs are raising their rates, and businesses are trimming health benefits.",HMOs are raising their rates due to higher costs.,slate,1
breaking down the ozone layer each flight could bring it down as much as one tenth,Flights like that are really bad for the ozone layer.,telephone,1
"Closer to town is Lion Rock, shaped like a lion lying in wait.",The Lion Rock received fame from the National Geographic article about it.,travel,1
"as total lines of code or can be broken out into new, modified, and reused lines of code.",Most code written is appropriated from previous written code.,government,1
cool yeah BS that's the way to do it,To BS is only one way to do it.,telephone,1
"Oh, a bruise and a cut or two; really, from a medical point of view, absurdly slight injuries to have produced such a condition.",The patient was lying about the injuries sustained.  ,fiction,1
"Want to catch up on the hottest independent film, pay a mere $3 for a held-over feature at the Lowe's Cineplex Fairfax, grab a few air-conditioned hours with an international flick, or watch a blockbuster in the historic Mann's Chinese Theater or El Capitan?",Would you like to watch a movie in a comfortable location with food?,travel,1
"David Boaz has written a more stimulating, more consistent, and more dogmatic book.",The book has been popular with many readers.,slate,1
"Gigot argued that Starr's victories had a political echo or consequence in Congress, namely they make impeachment proceedings more likely.",Gigot was a politician and whistle blower.,slate,1
yeah yeah well when my sister oh when my sister had her first uh child my niece and this is we're talking fifteen years ago i was it was my last year of college,I learned a lot about children from that experience.,telephone,1
Tommy's making tracks for the Argentine.,Tommy is making race car tracks for the Argentine.,fiction,1
"How extraordinary  "" Tuppence tailed off into silence.",Tuppence was shocked and bewildered and stopped shouting and eventually grew silent.,fiction,1
"Volume II presents the standards alphabetized by topic, pulls together all references to a particular topic in one section, and integrates illustrative material from both the SFFASs and the original Exposures Drafts wherever possible.",Volume I deals with term explanation and answer classification & FAQs.,government,1
"The information is turned over to LSC's Office of Compliance and Enforcement, which is responsible for monitoring the accuracy of the CSR system and CSR data.",The LSC maintains large amounts of data in enormous filing cabinets.,government,1
Novelist Emile Zola poured forth arguments against industrial exploitation.,Emile Zola advocated for a system of employment insurance and employment laws.,travel,1
"Beware of rebajas (sales); they may be genuine, but reductions are generally few and far between, especially in season.","Out of season, there are big sales reductions.",travel,1
"As government spending on health and retirement programs for the growing elderly population swells, government saving is also likely to decline.",Government spending on health and retirement programs is currently swelling.,government,1
"Decreases in two funding sources prompted the cuts, Worthy said.",Worthy is irritated at the cuts ,government,1
"As part of its implementation of Executive Order 12866, the Department of Veterans Affairs (VA) prepared a cost and budgetary analysis.",The VA found that costs were much higher than expected.,government,1
you know like all these people are just standing sitting sitting sitting around just going you know like what shall we do has anybody thought of anything no And then this guy from Federal Federal Express comes along they go what's that this track which it's going around the world and they can tell you where your package is anywhere any time,The Federal Express guy stopped by and relieved our boredom by showing us their tracking system.,telephone,1
"Hurriedly, I tore off their outfits.",I took off her dress.,fiction,1
"To Michael Kinsley's on-the-mark  about linguistic dodges served up by thoughtful commentators on the conflict in Kosovo, let me contribute the following, perhaps the grandest of them all--the congressional resolution of support for our troops.",The conflict in Kosovo was fueled over diplomatic tensions and greed.,slate,1
what if they truly are not guilty and they're convicted anyway,Sometimes they are not truly guilty because of inaccurate eyewitness memory causing them to be in this situation.,telephone,1
uh-huh of the second one,Ignore the third.,telephone,1
It's not as if all this postmodern self-consciousness amounts to anything new.,self-consciousness is more widespread than it had been previously,slate,1
"To be sure, people who have to switch HMOs may have to change doctors.",Some people who change HMOs do not have to switch doctors at all.,slate,1
"And he was doing just fine until it was time to go to his second shift at 1-0 Computer Associates, where he had been working on a program for the management of empty space in staff lockers in telecommunications companies.",He was ordered to go to his second shift by his immediate supervisor.,fiction,1
i work in uh building twelve in Attleboro,The place I work at is huge.,telephone,1
The request also specified that EPA should evaluate the cost of achieving these reductions using four alternative technology ,The request said the EPA should evaluate how much it saves to reduce the pollution control technologies.,government,1
" After centuries of peace and productivity, the year a.d. 426 marked the beginning of an era of strife, violence, and destruction.",in a.d. 426 very little peace and productivity carried on.,travel,1
El-Aksa is actually the most important mosque in the entire city.,El-Aksa is also the most visited mosque in the city.,travel,1
She barred the Industrialist's quick movement in that direction.,She warned him he did not want to go in that direction.,fiction,1
yeah that's that was uh that's always been our next step our our our little group of friends here we've we've been kind of getting married off and what not but uh that's,This tends to happen with friends after a certain age.,telephone,1
"Let me also note that Gene L. Dodaro, GAO's Chief Operating Officer, would make a terrific Deputy Comptroller General.","Although it is seen that he would make a terrific Deputy Comptroller General, he is largely seen to be an incompetent COO.",government,1
"The sultans were left in charge of local and religious affairs, content with their prestige, prosperity, and security.","The sultans would play no role in determining Foreign policy, policing, or taxation.",travel,1
The management of human capital has gained recognition as a significant part of internal control.,Human capital gets recognition as the most important part of internal control.,government,1
But there are so many other fine programs on ABC to mock.,Comedians have an easy time making funny of these ABC programs.,slate,1
"She added that an in-home, brief intervention linked with primary care found no association between stage of change and outcome.",She published her findings in a medical science journal.,government,1
no that that's true i i understand that France still owes us money from World War I,The debt is quickly piling up interest.,telephone,1
"Three men from the north, said Ca'daan.",Ca'daan said there are three men from the north coming to battle.,fiction,1
"Well, he said at last, ""let us go, mon ami.""","He said, ""Let's go home.""",fiction,1
"Founded in 1611 by Margarita de Austria, this convent has accumulated an interesting art collection, including a gruesome wooden sculpture of Christ after his crucifixion bloody, blue-lipped, with his eyes rolling back into his head.","Founded in 1611 by Margarita de Austria, this convent has accumulated an interesting art collection by stealing from others.",travel,1
"Nearby is the oldest of the shrines, the Temple of Hercules, 500 b.c. , whose eight 33-ft-high columns have been re-erected to give some idea of its magnificence.",The Temple of Hercules is the oldest shrine in the entire country.,travel,1
Critics are as frantic about saving their novel these days as they were about killing it 40 years ago.,Critics are afraid they will lose their jobs if the novel goes away.,slate,1
Dudovitz said that he is halfway to his goal of reorganizing his new territory.,Dudovitz has reorganized the territory in order to make the government more central.,government,1
and i think probably they have said that if you save these people by feeding them then they reproduce and then you have a later more serious famine yeah,i think that they said that ignoring these people is the only good choice.,telephone,1
That one had a dragon's head for the hammer.,The dragon's head was highly detailed. ,fiction,1
"With the exception of ocean liners and picturesque fishing boats, Funchal remains a working port (handling containerized freight) and home to a small oil terminal."," Funchal remains a working port, with fishing boats and commercial vessels. They also have fishing tours that use the port.",travel,1
A record five-day gross of $102.,The next highest gross was much lower than $102.,slate,1
She suggested that changing physician behavior can incorporate the same concepts that are applied to changing patient behavior.,Changing physician behavior may have a benefit similar to changing patient behavior.,government,1
no there's no carpet in the house right now,"No, there's no carpets in the house because of my allergies.",telephone,1
In what direction?,Where did they go?,fiction,1
"Tommy and Julius watched it out of sight, and then turned to the narrow path.","Tommy and Julius watched it go away, then turn towards the town.",fiction,1
well it's hard to say i mean while it's certainly the case that things like automobiles and factories uh pollute a lot um if you look at how much pollution is say kicked up by an active volcano uh it's certainly less than clear that anything man can do in this sort of scale of things has much effect at all what do you think,There are still other man-made creations that are capable of more pollution.,telephone,1
Down the Hatch,The hatch is referring to the mouth.,slate,1
"An arrow whistled past, planting in San'doro's shoulder.",San'doro started gushing blood when he was hit by the arrow.,fiction,1
"Perhaps your own blade has lost its shine, old man, said Adrin.",Adrin spoke rudely to the old man.,fiction,1
I don't remember anything more until I woke up in the hospital. There was a pause.,I woke up in the hospital with the nurse tending to my room.,fiction,1
i didn't know we had one either yeah,I didn't know we had a doctor on staff.,telephone,1
"But if he dies, it's not clear that Syria can control Lebanon or that the Golan border will remain peaceful.",There is much internal conflict in Syria and Lebanon.,slate,1
One problem with both of the Jones-Lee studies is that they examine VSL for a limited age range.,Studying a wider age range would probably give a more accurate result.,government,1
"Created over the course of the year, the tools were distributed to programs for comment at the end of 2002.",The tools were distributed to help start up companies have what they needed to make money.,government,1
He had failed.,He gave his best effort.,fiction,1
a trade off,A good transaction.,telephone,1
carry all that cash with you,Carry cash in your purse.,telephone,1
Waiters carried bottles of ancient and royal vintage with loving care.,The waiters held the bottles with fancy orange mittens.,fiction,1
"Fundamentally, the McChesney brigade worries more about AOL Time Warner's pulling journalistic punches than about any lost independence.","Most people think that if the McChesney brigade doesn't get itself together, it's going to lose a lot of respect.",slate,1
the thing that the thing that gets me is that while we're supporting them they're working when they get out of jail they get handed all that money,"They will get handed $1,000.",telephone,1
"As indicated in the previous section on quantification of premature mortality benefits, we assume for this analysis that some of the incidences of premature mortality related to PM exposures occur in a distributed fashion over the five years following exposure.",We believe that exposure to PM carries very significant risks to lung health.,government,1
"Munny's assertion, in Unforgiven , that it's a hell of a thing, killing a man.",Munny asserted the killing an unarmed man is a hell of a thing.,slate,1
"traveling that path with the current 126 petitions and NOx SIP Call believe it will eventually take us to our environmental goal, it has been -- and still is -- a very rocky road for industry, environmentalists, the states, EPA and other stakeholders.",Industry has been reluctantly attempting to meet the standards required of it.,government,1
"In addition, the preambles and appendices to the proposed and final rules cite numerous statutory provisions associated with particular aspects of the rule.",The preamble to the proposed rules has more citations to statutory provisions than the appendices.,government,1
yeah are you are you on a flat on a slab like,Is your house built on a flat concrete slab?,telephone,1
"He does, does he? ",He acted upon it even though he wasn't sure?,fiction,1
"It was a dream, a horrible dream.",The road to the hotel was a nightmare.,fiction,1
"The first consignments were exported in 1866 and, within a few years, thousands of tons were being shipped to markets in the US and Britain.",Hundreds of tons were shipped to France in later consignments.,travel,1
"Most important sight in the neighborhood is the monumental Hetel des Invalides, established by Louis XIV as the first national hospital and retirement home for soldiers wounded in action.",It is the most important sight mainly because of its historical significance.,travel,1
"In modern times the Sinai had become a backwater protected from the ravages of the modern world, and perhaps it would have remained one of the world's undiscovered spots if it hadn't been for one Self Contained Underwater Breathing Apparatus (SCUBA).",SCUBA is the only allowed activity in the Sinai.,travel,1
well that that's pretty avid to me,Anyone would agree with me that that's avid.,telephone,1
yeah oh and i tell you what i worked at McDonald's as well and i i can tell you one thing there are just some people that i you know you just came to the point where i mean and oh i eventually worked in a lab in a lab as a lab technician and i worked front desk and i mean somebody could walk in the door and i knew exactly what they were going to do and say,I worked at McDonald's and it was gross and dirty.,telephone,1
High School and Central Michigan University and had a promising,The schools were going to collaborate.,government,1
"For this benefits analysis, we applied REMSAD to the entire U.S. for four future-year  a 2010 Base Case, a 2020 Base Case, a 2010 Clear Skies Act Case, and a 2020 Clear Skies Act Case.",There are more tests run on the data. ,government,1
"The reforms he got the ruler to accept organizing revenue collection, dismantling slavery, regulating land were precisely the changes Birch had sought but for which his arrogant approach got him murdered.",The ruler was against the new regulations but trusted the administrator's judgement.,travel,1
what do you do with it now uh-huh right,Do you do it often?,telephone,1
well my husband has to have a has to drive a pick up so that's so he has his he has a pickup,My husband has driven vehicles other than pickups. ,telephone,1
Bottomless Mug,A novelty mug.,slate,1
It is true. ,It may not entirely be true,fiction,1
I realized a lot of things as we traveled.,I realized a lot about my mother as we traveled across the country. ,fiction,1
"The Morgan representative came onto the floor of the Exchange, stepped into the middle of the caterwauling mob trading in U.S.",It was the busiest trading day in history.,slate,1
discipline the soul.,Meditate to control yourself. ,slate,1
What we have to look at is what the facts are (DeWine).,The facts are all we have to look at.,slate,1
"It is dedicated to the God of the Earth, who was sent down to Japan by the Sun Goddess Amaterasu.",The Sun Goddess Amaterasu had a daughter named Akiko.,travel,1
and then all you'll have will be road camping trips you know let's just go out to the mountains with the car honey and uh,Hopefully it won't come to road camping trips.,telephone,1
"The small trail-side shrines in the high mountains, called chortens, are also Buddhist, and often surrounded by stones carved with the Om mani padme hum incantation  Hail, jewel in the flower of the lotus. ","The small shrines were not always called chortens, this only occurred recently. ",travel,1
uh-huh i thought that was illegal,I thought it was immoral as well.  ,telephone,1
Tuppence could think of nothing to say.,Tuppence could not think of anything to say because she was shocked.,fiction,1
"You'll need to go by car, taxi, or bus to reach the heights of the Mount.",It's impossible to reach the peak on foot.,travel,1
