premise,hypothesis,genre,label
"Subsidized by generous patrons, the convent accepted only nuns of the highest nobility until the beginning of the 18th century.",The convent was subsidized by generous people.,travel,0
Partiality and-in some instances-the inability to generalize from the findings can limit the utility of case study methods for evaluation.,The usefulness of case study methods of evaluation are affected by partiality.,government,0
Rather. The day passed pleasantly.,The days passed without any tragedies.,fiction,0
uh she just recently started working uh she worked a job until we moved to our new house and uh she quit that job because it was too inconvenient and uh she starts a new job tomorrow which should take her out of the house about four days a week,She started a new job.,telephone,0
"Its Gothic cathedral dominates a charming old town (vieille ville) of medieval and Renaissance houses on Rue Saint-Martin, Rue Saint-Malo, and Rue Bourbesneur.",The houses feature Gothic designs. ,travel,0
oh so once you buy a vehicle and you pay you pay the sales tax that's it they don't tax you on it anymore,You don't have to pay any further tax on a vehicle once you've paid the sales tax.,telephone,0
"From the end April and into early May is Golden Week, the unofficial name for the conjunction of three major national holidays (Green Day, Constitution Day, and Children's Day).",There are a lot of holidays from the end of April to the beginning of March.,travel,0
"As you travel south, the landscape changes.",The geography is different when comparing north and south.,travel,0
well oh i agree,I think so too.,telephone,0
Will you take them?,Are you gonna take them?,fiction,0
"At the opposite extreme are massive, almost riotous processions of thousands of bellowing, sweat-drenched men fighting to carry a huge portable shrine through the streets to a symbolic destination.",Very sweaty men will fight to carry a shrine through the streets to a symbolic destination.,travel,0
okay okay okay so it's it's it's amazing too you know you with that with the oil wells burning over there that's that's the exact same stuff that's coming out of cars every day just in uh just in a little different grade i guess,"""The exact same thing that is coming out of cars everyday is in the oil wells burning over there.""",telephone,0
The difference is that Microsoft earned $3 billion more last year than Apple did.,Microsoft is ahead of Apple in terms of revenue for last year.,slate,0
"Examples include edit checks of data entered, accounting for transactions in numerical sequences, comparing file totals with control",Examples include accounting for transactions in numerical sequences,government,0
The Committee is providing guidance and information to Chief Financial Officers and managers in the 24 agencies covered by the CFO Act.,The Committee provides guidance and information. ,government,0
Funding cuts closed some satellite offices and reduced staff.,Some offices were closed due to funding cuts.,government,0
You can acquire a second spouse so long as you discard the first one.,You can remarry as long as you first divorce.,slate,0
An aesthetic democrat says that more people could profit from the experience of art if those who ran museums thought more creatively about how to converse with their audience.,Experiencing art involves more than just looking at it.,slate,0
when it gets to be a hundred degrees every day for a month and a half,It will get to be a hundred degrees every day. ,telephone,0
"No, no, you are on a wrong tack there. ",You're heading in the wrong direction.,fiction,0
and then harvest like in December yeah that's right because the summertime you just can't grow anything and we tried to plant in like end of March or April and everything just toasted i mean it just,It is impossible to grow things during the summer months. ,telephone,0
"In the 16th century, a strong city wall now almost completely destroyed protected the population.",The city wall protected the city.,travel,0
"Got stuck to the desk,' a receptionist quietly answered.",An office worker explained that they were stuck to a piece of furniture. ,fiction,0
Here is charming proof that you do not have to travel hundreds of miles from Madrid to immerse yourself in the Spain of pack-donkeys on cobbled lanes.,You can encounter pack-donkeys and cobbled lanes in this area.,travel,0
"Authorization for this rule is contained in sections 301 and 303(r) of the Communications Act of 1934, as amended, 47 U.S.C.",The Communications Act of 1930 allows this rule. ,government,0
"The Eremo Observatory halfway up the mountain has been studying eruptions since 1845 and has an impressive display of relief plans, seismographs, and geological specimens spewed out of the volcano.","The Eremo Observatory studies eruptions, seismographs, and geo specimens.",travel,0
The fire San'doro had made cracked.,The fire was making noises.,fiction,0
"I honestly believe if it wasn't for them, I never would have gotten it.",I would never have gotten it if it was not for them.,government,0
Five Kinds of Jungle,Jungles have five kinds.,travel,0
"The proposed legislation was defeated, but the phrase present in the United States replaced the residence language found in earlier statutes.",Even tho the legislation did not pass it still influenced the language of some statutes.,government,0
"The great temple complex can only be entered by Hindus, but views of a huge gilded Nandi (a bull five times life size) and massive embossed silver doors can be had from just outside the front gate.","Only Hindus can enter the the great temple complex, but you can see a huge gilded Nandi and massive embossed silver doors from outside the gates.",travel,0
Mighty big man wore it once. Drew was still half in the past.,It was worn by a big man.,fiction,0
you would have thought the guy was just pure as the driven snow but i happen to know his background and i know that he would have sold out his mother for uh uh shorter sentence,"He seems like a good guy, but he would have sold out his own mother.",telephone,0
those that work for the the higher executives those secretaries they uh they really dress up all the time so there's a good combination in the hallways all the time you know,The higher employees dress formally everyday.,telephone,0
'Haven't seen you here in longer than usual.',Haven't seen  you here in a while. ,fiction,0
Reliability does not mean that computer-processed data are error-free.,"Just because it reliable, that doesnt mean that computer processed data is perfect. ",government,0
They walked in silence to the creek.,"They did not utter a word, on their way to the creek.",fiction,0
"Coming upon the statue at the top of the hill, even though you may have already seen it from a distance, is still an awe-inspiring experience.",The statue is more impressive up close than from a distance. ,travel,0
"Good morning."" Hardly able to contain his excitement, Tommy hurried down the stairs.",Tommy was having a good morning.,fiction,0
"By contrast, Finkelstein adopts an ugly conspiratorial tone when he attributes the book's popularity in the United States to its Zionist message.","By attributing the book's popularity to its political message, Finkelstein reduces himself to sounding like a conspiracy theorist. ",slate,0
They are also generally permitted to travel to and from the United States without restriction under U.S. immigration laws.,"Under U.S. immigration laws, they are permitted. in general, to travel to and from the United States without restriction.",government,0
Pearinsky felt light for about 30 seconds and then he felt heavy and wanted to vomit.,Pearinsky wanted to throw up.,fiction,0
But still Wendy Wasserstein eludes us.,Wendy Wasserstein still eludes us.,slate,0
The ferry timetable runs on a winter (read curtailed) service until the first week in May.,Ferries are available until the first week in May.,travel,0
they'll they'll put it with just my wife loves old bay with everything so if we have French fries they have to have they have to have old bay on them,"My wife enjoys the old bay spice with a lot of dishes, especially french fries.",telephone,0
and it was a new Ford so the automobiles that that i have uh,This Ford was new,telephone,0
oh yeah uh stolen run away no i doubt it but i don't want them breeding with any,I don't want them to have babies. ,telephone,0
"OMB's 1996 revision of Circular A-130, Appendix III, recognizes that federal agencies have had difficulty in performing effective risk assessments--expending resources on complex assessments of specific risks with limited tangible benefits in terms of improved security.","Federal agencies have had difficulty in performing effective risk assessments--expending resources on complex assessments of specific risks with limited tangible benefits in terms of improved security--that was recognized in OMB's 1996 revision of Circular A-130, Appendix III.",government,0
"Continue up the coast to Lanusei and head inland across the rugged Gennargentu mountains, covered with dense forests of cork oak and chestnut trees.",You can go inland to the mountains.,travel,0
i i absorbed all of that movie in one sitting uh i guess what made it so good was the cinematography cinematography,I watched all of the movies in one go.,telephone,0
"It is a 3-km (2-mile) tunnel of bamboo surrounded by sugar cane, with somnolent grazing cattle tethered along its length.",The tunnel is made of bamboo and is surrounded by sugar cane.,travel,0
and if you get one of those false negative reportings and and you're fired from your job that's going to carryover into other jobs um no matter um you know if it's truth or not so yeah it can stick with you for a long time,A false negative can impact your career far into the future.,telephone,0
The Muslims tried to purify the Islamic practice of the Hindu rituals which had accrued over the years.,Over the years Hindu rituals made their way into Islamic practice and the Muslims tried to cleanse this. ,travel,0
"It's hard to imagine a faith more hostile to all idolatry, fierce in its uncompromising monotheism, and opposed to the caste system as Islam When sufi mystics or the emperor Akbar tried to create a synthesis between the two faiths, the orthodox on both sides resisted.",Islam is opposed to the caste system.,travel,0
oh really huh do you do they um have a policy where they counsel people if they come back positive or do they fire them right away or,"Do they counsel people or fire them, if they come back positive?",telephone,0
Scorch marks were strewn all over the hull- particularly at the joints which had once held the two carriages together.,There were a lot of scorch marks at the joints. ,fiction,0
well the only about the only things i watch on commercial television are Thirty Something and Twin Peaks uh and i just discovered that they uh have have canceled both of those so,Thirty something and Twin Peaks have been cancelled on commercial television.,telephone,0
"Not too many jocks are Rhodes Scholars, observed Cousy, arguing that Bradley personifies the virtues of team sports.","Jocks are usually less intelligent, Cousy believes.",slate,0
"I'm not myself since then.""  ""What in hell would they need with helicopters?"" Hanson asked.","Hanson asked a question about the helicopters, and why they would need them.",fiction,0
Encryption is OK because its authority is created in my very own machine.,"Since my personal computer holds the authority for encryption, it is OK.",slate,0
"The under-30s despise Mexico's corrupt, one-party government, but they are not as skeptical about capitalism as the leftist candidates they voted for.",The leftist candidates are skeptical about capitalists.,slate,0
"But, as in Washington, on snowy days like this, you take what you can get.",It sometimes snows in the Washington area.,slate,0
It shares hit shows like Bill Nye the Science Guy with commercial stations.,It shares shows with commercial stations so they can advertise.,slate,0
"Getting no answer, I repeated my summons impatiently. ",I impatiently kept asking even after no reply.,fiction,0
"In stark contrast to Raphael's grand manner, seek out the gentle beauty of Fra Angelico's frescoes in the Chapel of Nicholas V (Cappella del Beato Angelico).",Raphael's manner is different from that seen in Fra Angelico's frescoes.,travel,0
what do you do turn the other cheek,Do you offer the other cheek?,telephone,0
"During the 1970s, Ekman developed a method called the Facial Action Coding System (FACS) to measure all visually discernible facial movement.",Ekman developed FACS to measure facial movement.  ,slate,0
"In accordance with section 604a(2), it provides a summary of the significant issues raised in the comments submitted in response to the Initial Regulatory Flexibility Analysis and its reaction to those comments.",Section 604a gives a summary of the issues raised.,government,0
"Savor the delicacy of the cuisine, which, at its finest, is truly a feast for a ll the senses.",The cuisine is delicious.,travel,0
The imperial rulers moved the capital to Kyoto originally to escape from the growing domination of the Buddhist authorities of Nara.,The growing power of Buddhism was the reason why the rulers moved the capital to Kyoto.,travel,0
"If you're pining for English-language books, Village Voice on rue Princesse in St-Germain-des-Pres is outstanding, but try, too, Brentano's at 37 avenue de l'Opera, or W. H. Smith at 248 rue de Rivoli.",W. H. Smith carries a large assortment of books written in English.,travel,0
( outlines how the Reform Party selects its presidential nominee.),A nominee for president is selected by the Reform Party.,slate,0
"The purchase of the building on A Street in downtown Oxnard also signals California Rural Legal Assistance's intention to establish roots, said its leaders.",The took the real estate purchase as a sign that they were there to stay.,government,0
" ""Was he ridin', Sergeant?""Drew asked, hardly knowing why.","Drew asked the Sergeant if he was riding, not knowing why he asked it.",fiction,0
Other ways of thinking about national saving and investment are discussed in Q2.,There is more than one way to think about investment.,government,0
i don't know whether it is or not,I don't know what's going on.,telephone,0
"Pollock added the notion that demonstrations of effectiveness in primary care settings, in the eyes of policymakers and payers, are not tantamount to demonstrating cost-effectiveness in emergency departments, underscoring the importance of research in that setting.",Pollock underscored the importance of research in energy departments.,government,0
yeah yeah yeah right but i and i love uh i look at the orchestra music too like the Boston Pops or or anything,Orchestra music is a style that I enjoy.,telephone,0
I know Dr. ,"I am aware, medical practitioner.",fiction,0
"Yet, the Constant 2000 National Saving Rate simulation yields a vast improvement in future living standards compared to saving the Social Security surpluses.",The Constant 2000 National Saving Rate simulation shows a vast improvement in future living standards. ,government,0
"A veritable Grand Central Station of ferry services, Paroses an island with something for almost everyone.",Paroses island has a large ferry service.,travel,0
"""Lots of wild horses hereabouts then?"" ",A lot of wild horses here?,fiction,0
"C rete has hundreds of beaches, from tiny coves to lengthy strands.",There are hundreds of beaches of varying sizes on Crete.,travel,0
 Irish handmade chocolates are on sale at Butler's Irish Chocolates in Grafton Street.,You can buy handmade chocolate at Butler's Irish Chocolates.,travel,0
Honda Accord yes that's one,"Yes, I'm talking about the Honda Accord.",telephone,0
The test of the governors' new way--and the test of America's rediscovered political faith--won't come till the lean years follow Clinton's seven fat ones.,America has rediscovered political faith to some extent.,slate,0
and then and then they could call the shots for the next you know period of time until the next strong man came up and you know and,One strong man could call the shots until the next strong man came up.,telephone,0
"No, it was diplomacy backed up by force, Kondracke roars back.",Kondracke said that it was diplomacy backed up by force.,slate,0
"No matter how hard I try, I feel that I say the wrong thing or something inappropriate.",I usually say the wrong thing.,slate,0
"In another ED study, a saliva alcohol level equivalent to a BAC greater than 0.10 g/dl in an injured patient identified harmful drinkers (AUDIT &gt; 8) with a sensitivity of 65 percent.",It is possible to identify harmful drinkers over half of the time.,government,0
I know you saw such horror that we cannot understand.,You saw terrible things.,fiction,0
Poet Craig Raine argued that Lorenz Hart was a better lyricist than Dylan.,There is some debate over whether Hart or Dylan are a better lyricist. ,slate,0
Her ability would have her shunned or burned in most of the cities in this desert.,She would be punished in most cities.,fiction,0
"Competitors simply run up and down the side of a fell, taking obstacles like bogs, streams, and rocks in their stride.",Competitors evade obstacles while running up and down a fell.,travel,0
all righty well you bet bye,"All right, sure, bye.",telephone,0
"Julie Burchill wrote recently in the Guardian , The idea that one party has to overcome the 'natural' resistance of the other party to sexual intercourse by a combination of gifts and being economical with the truth takes us perilously near to date-rape territory.",Julie Burchill likened gift giving for sex to date rape.,slate,0
Dallas yeah i'm from Rowlett,I'm from Rowlett ,telephone,0
"However, it features improved exposure estimates, a slightly broader study population (adults aged 25 and older), and a follow-up period nearly twice as long as that of Pope, et al.",It has improved exposure estimate and a bigger study population compared to Pope's study.,government,0
"Thus, the estimates of avoided incidences of premature mortality based on this C-R function may underestimate the true effect.",The C-R function is not 100% accurate.,government,0
"Caled Kan'eiji, it was established on the area's one prominent hill to protect the capital from evil spirits.",The capital was protected from evil spirits by Kan'eiji.,travel,0
"The Commission describes how, in response to these comments, it attempted to minimize the burdens on small entities ",The burden on small entities was attempted to be minimized.,government,0
"While Podhoretz may be correct in his opinion of Al Sharpton, his comments regarding Sharpton and Jesse Jackson possess a thinly disguised undertone of  As he castigates white liberals for assuming that Negroes could do no wrong, his discussion of Sharpton's actions seem to say, Well, what can you expect?",Podhoretz made some comments about Al Sharpton.,slate,0
Those players who stick with Parcells adore his tough love.,Parcells has a tendency to dish out strict but kind love to his players.,slate,0
And Fieldcrest has used that fuzziness to great advantage.,Fieldcrest has achieved great advantage. ,slate,0
"(iv) Other relevant information or requirements under Acts and Executive orders Administrative Procedure Act, 5 U.S.C.",The Administrative Procedure Act addresses requirements made under acts.,government,0
"For the organizations that strictly controlled their membership or the number of members, developing and maintaining their membership base was a formidable challenge.",Organizations that strictly controlled their membership was a formidable challenge.,government,0
"He'd unhooked one the first day that's what made me hesitate to trust him."" She paused.",I hesitated in trusting him because he unhooked on his very first day.,fiction,0
"Vrenna looked nervous, taking a step back.",Vrenna look nervous while taking a step back.,fiction,0
"She's very polite, and she makes them feel like their contribution to the system is important.",She is a very polite lady.,government,0
I worked on ...,I put some effort into...,government,0
"Even so, the Czechs still revere Havel as their philosopher-king.",The Czechs think Havel is their king.,slate,0
"If you don't usually read the second page of the Quiz you should, and I feel I've been only cheating myself all these months by just looking for my own name and secret encrypted love talk from Beth Sherman.","Page two of the quiz is worth looking at, if you don't already.",slate,0
"They do not, they say, value a stock by looking at future earnings.",They don't value a stock just by how much it will make in the future.,slate,0
"I don't say she wasn't surrounded by 61 sharks, she was. ",She was surrounded by 61 sharks. ,fiction,0
this is that's the only fallback i see because i've seen like when the Vietnamese come over they get they have stores and you know Uncle Sam done bought uh uh you know Uncle Sam had to pay for it they gave them that loan but people over here can't even get a small business loan like that,Some Vietnamese came in and got loans to start stores.,telephone,0
Chatterbox knows what you're  Chatterbox is a reporter.,Chatterbox can be a reporter and knows when this is happening.,slate,0
The horror has disappeared beneath the moss and what remains is the thrill of the monument's endurance.,All that remains visible is the embodiment of the monument's resilience.,travel,0
How you served vs. whether you served.,There's a difference between if you did or didn't serve and how you served.,slate,0
Great Scot! ,Cor blimey!,fiction,0
i need to go over there and stay about twenty years so i can just travel go around all the places Stonehenge of course you know every everybody makes the obligatory trip to Stonehenge,I want to travel there for twenty years.,telephone,0
It is impressive that such a warm and amiable fellow--and he was--could be so profoundly wrong at least twice.,It's impressive that such a nice fellow could be wrong twice.,slate,0
okay then uh all of your state income tax is deductible for federal income tax purposes,Your state income tax is deductible for federal income tax reasons.,telephone,0
"Garance Franke-Ruta's response to Herbert Stein's Watching the Couples Go By is amusing, but ridiculous.",Franke-Ruta's response to Stein's Watching the Couples Go By is ludicrous.  ,slate,0
It's quite true.,There is truth to it.,fiction,0
Additional circumstances associated with public safety and security concerns could also justify the exclusion of certain information in the report.,Certain information being excluded from the report could be justified because of security concerns.,government,0
Fifth month: Promoted one floor up to duties of wardmaid with mop and pail.,"In the fifth month, I was promoted to wardmaid and given a mop and pail. ",fiction,0
"In one trauma center, BAC had a sensitivity of 63 percent for an alcohol disorder.",BAC can be measured by sensitivity to deduce alcohol disorder status.,government,0
well not being a drug user i don't have a problem with that personally but i think that might be a violation of someone's rights if someone's,I don't have a problem with that because I am not a drug user.,telephone,0
"Directly ahead lies the Mercado dos Lavradores (Workers' Market), housed in a two-story, open-roofed structure built in 1941.",The location of the Mercado dos Lavrdores was first built in 1941.,travel,0
I barely make it now with my regular bills.,I can cover my bills.,government,0
