premise,hypothesis,genre,label
yeah it begins to make you wonder why we didn't go ahead and go on in and,it makes you wonder why we didn't act more cautiously and stay back,telephone,2
and that really up sets me when i see that,It fills me with joy when I see that.,telephone,2
not not toward you know winning in Las Vegas for example,Winning in Las Vegas is not a good example.,telephone,2
For it is of the most complicated! ,It's so simple!,fiction,2
Consider movie titles.,Consider book covers.,slate,2
The forum participants recognized the advisability of the owner performing as a smart buyer of outsourced services.,It was a horrible  idea for the owner to buy outsourced services.,government,2
The Aosta Valley's Courmayeur is as pleasant a base for hiking and more strenuous mountain-climbing in summer as it is for skiing in winter.,Aosta valley doesn't have any good hiking. ,travel,2
I signed up for all of them.,I didn't sign up for all of them.,slate,2
"Below Grassmarket is Cowgate, known for generations as the Irish Quarter because many families came here to escape the potato famine in their own country.",Cowgate lies above Grassmarket.,travel,2
This is a work-in-progress for us as it is for others.,"This is a work-in-progress on our side, but not so much for everyone else involved.",government,2
But he won't be needed this trip.,He will be absolutely essential for this trip.,fiction,2
He turned into an A.B.C.,He ran out of an A.B.C.,fiction,2
What if that prosperity is a temporary illusion?,Prosperity is definitely not an illusion.,slate,2
He stayed late to help me catch up.,He has never made an effort to help me. ,slate,2
you know and it kind of scares me especially with all the shootings that have been going on in L A on the freeways and then you come here in in the Dallas area um,"There really aren't any shootings, so I'm not scared. ",telephone,2
"An attorney arrives [in Civil Court] at 9:30 in the morning, hoping the matter can be taken care of in an hour.",The attorney hopes that the matter takes as long as possible.,government,2
yeah so what do you buy what are you looking for you look for an automatic you know you look for something with all the,"You are not looking to buy anything, right?",telephone,2
i guess that's true and they don't have to worry about yard upkeep because they don't hardly have any,People really have to worry about yard upkeep because their yards are huge. ,telephone,2
"Despite being wild, the deer are quite tame and loiter around the park's various tourist attractions, hoping for a free snack of the deer biscuits sold here.",The deer in the area are very wild and do not come near the park.,travel,2
"A century later, Lorenzo Ghiberti won the competition to design the great north and east doors, devoted respectively to the life of Jesus and scenes from the Old Testament.",Lorenzo Ghiberti designed the south doors because he won a competition.,travel,2
The mags discover the same  the exodus to exurbia.,The mags two things that were different in all aspects.,slate,2
oh really do you smoke,Do you dislike smoking?,telephone,2
"So, off we go, heigh ho, heigh ho, as in the Disney cartoon, singing the words of Sidney  the new politics, the new economics, the new technology (nu, nu), all insured by comprehensive health insurance with prescription drugs, spectacles, and false teeth for the aged (as promised by Nye Bevan in 1950, when he set up the new British comprehensive health system).",Everything in the government will be the same as it ever was.,slate,2
"Bill, I think, has proven   that a basketball player, baseball player, football player are very intelligent people and that type of stigma attached to you is not worthy.",Bill has proven that all athletes are incredibly ignorant and uninformed.,slate,2
"Just to the east of Sakuranomiya Park is the Fujita Art Museum, which has a fine collection of Chinese and Japanese paintings from the 11th century to the present.",The Fujita Art Museum is one hour away from the Sakuranomiya Park and has a fine collection of  Chinese vases.,travel,2
and i guess the news does help well it was really nice talking talking to you okay,The news isn't helpful.,telephone,2
"You did serve them, Fowler?""",Fowler was being asked if he punched them.,fiction,2
"My dear Poirot, I said coldly, ""it is not for me to dictate to you. ","It is my place to dictate to you, Poirot.",fiction,2
"So measured GDP might well fall very little, or even rise.",GDP will not budge from its current rate.,slate,2
"This summer, the legislature ordered a Nov. 2 referendum to decide the status of poker once and for all.",Legislature has no intention of settling the status of poker by referendum.,slate,2
"The best strategy is to schedule two visits into your itinerary, both before and after your trips to the temples and other historical sites along the Nile.",The worst strategy is to schedule two visits into your itinerary.,travel,2
"When the government creates a limited forum for speech, certain restrictions may be necessary to define the limits and purposes of the program.",If a government creates an unlimited forum for speech then there needs to be limits to the program.,government,2
But the rising obstructionism does damage government.,The government is untouched by the rising obstructionism.,slate,2
you think so i mean i haven't been watching my watch um,I've been watching my watch quite closely.,telephone,2
"Newsweek also runs an essay from Clinton-loyalist-cum-moralist George Stephanopoulos, who urges the prez to come clean.",The Onion often published George Stephanopoulos's essays asking the president to come out.,slate,2
"Three times they have signed with high-interest lenders that refinanced their Denver home, gave them some cash and escalated their debts.",High-interest lenders refuse to refinance homes.,government,2
"'I said go ahead,' Lincoln repeated.",He said not to go ahead with it. ,fiction,2
"87, Employers' Accounting for Pensions ]",The employers didn't account for the pensions.,government,2
Tiger Woods won the Masters golf tournament and was anointed a Transcendent Sports Phenomenon.,Tiger Woods lost the Masters golf tournament to Dick Cheney.,slate,2
"In a networked environment, these risks are magnified because a problem on one computer can affect an entire network of computers within minutes and because users are likely to have easier access to larger amounts of data and the ability to communicate quickly with thousands of others.","Luckily, a computer at risk holds no risk for other computers.",government,2
"If you missed the discussion of tobacco executives' choice to smoke, click here.",There is no more information available. ,slate,2
"In the Base Estimate, the willingness-to-pay estimate was derived from two contingent valuation studies (Viscusi et al.",The willingness-to-pay estimate was arrived at by interviewing people on the street.,government,2
"Not surprisingly, this self-contained region engendered a stalwart sense of self-reliance and independence in its inhabitants.",Trying to be self-reliant led to the deaths of many groups of people.,travel,2
well isn't isn't Sleeping with the Enemy isn't that a is is it is it a terror movie or is it just suspenseful,SLeeping with the enemy was uneventful and boring,telephone,2
"The north wing was bombed in World War II, and the second floor was gutted by fire in 1968.",The building remained unscathed during World War II. ,travel,2
"The second was that we may have difficulty selling alcohol interventions because they are in competition with other types of interventions such as helmet use, seat belt use, or smoking prevention.",Alcohol intervention is a huge priority.,government,2
The capital city of Anjou is a perfect base for exploring the Loire Valley from its western end; this bustling university town offers first-class modern shopping in the pedestrian zone around the Place du Ralliement.,Anjou is not a university town. ,travel,2
"The grace of its overall form is best viewed from across the canal, because, like St. Peter's in Rome, the dome disappears at closer quarters behind its elongated nave.",The dome of St. Peter's can be seen best from nearby.,travel,2
"Today it is a base for pilgrims visiting Tamil Nadu's great temple complexes, but every schoolchild, at least those from the old school, knew Trichy for the British defeats of the French here in the 1750s.",Schoolchildren were seldom taught about Trichy.,travel,2
The cattle and sugar barrels exported from the plantation in fact had these initials branded onto them.,There is no branding on barrels and cattle from the plantation.,travel,2
"These benefits are a result of the Congress or federal departments and agencies implementing our recommendations to make government services more efficient, improve the budgeting and spending of tax dollars, and strengthen the management of federal resources.","Though our recommendations were ignored, government services have become more efficient.",government,2
yeah those those are those are always the i i think those are more fun than major league games sometimes,Major league games are always more enjoyable,telephone,2
"Then he lost control with too much tension or fatigue and began getting a bunch of assorted junk, such as old 201-A tubes, a transit, a crystal vase and resistors.",He always maintained control no matter how much stress he experienced.,fiction,2
 IV  Slim started at the sound of footsteps and brightened when it turned out to be only Red.,Slim and Red were napping in the park.,fiction,2
The LSC allocates money to states based on the number of poor counted in the last census.,All states get the same amount of money from the LSC>,government,2
"Regular posting of new material will resume the evening of Monday, July 7.",There will never be any new material posted.,slate,2
Get individuals to invest their time and the funding will follow.,"If individuals will invest their time, funding will come stop.",slate,2
"It would establish national cap-and-trade programs for NOx, SO2 and mercury emissions from power generators (with appropriate measures to address local concerns).",The cap-and-trade programs would not include anything to ease local concerns.,government,2
"But still, I can't complain about what is there.",I am not happy at all with what is there.,slate,2
"No one was in a position to discriminate against a new entrant, because the Net was architected to disable discrimination.",Everyone said bad things about the new people.,slate,2
because it all depends you know for everyone their own what they want to do because i jump on the bike here at home mine has its see the handle bars go up and down so i can sit there and read and listen to music like what you said and it has no effect on me,Everyone likes to do the same thing and it doesn't depend on an individual person. ,telephone,2
"You leave it to me, miss, and I'll fix the whole thing up in two ticks. 67 ""Some lad!"" commented Tuppence, with a nod of approval.",I neglected to offer to help fix the thing for the miss.,fiction,2
that's right that's exactly right but uh well i'll tell you what it will be interesting to to get the baseball season going and see how everything turns out,I wish the baseball season would get canceled this year.,telephone,2
"He fell back, his leg twisting at a wrong angle.",He fell back to sleep on his soft fluffy bed.,fiction,2
"They cannot be used to sue the state or any agencies or subdivisions of the state, nor any colleges or universities.","Colleges can be sued by them, but not universities.",government,2
"For example, the agency added milestones for managing and cleaning up radioactive waste, restoring contaminated sites to productive use, and slowing habitat losses.","For example, the agency added milestones for managing and cleaning up radioactive waste, but was unable to restore any contaminated sites to productive use.",government,2
Blanka and Edmundo inhaled books by the truckload and even that was not enough.,Blanka and Edmundo are illiterate.,fiction,2
Do I have time to think about it?',"'My answer is yes, I don't need time to think about it.'",fiction,2
"Yes, said Jon, looking at the big man.",Jon looked at the ground.,fiction,2
"Alas, there is a semi-underground market--collectively called the bone trade--that trafficks in body parts imbued with historic significance or celebrity cachet.",There is no market for body parts.,slate,2
He walked through a thousand conversations that would or would not convince them.,He didn't plan on talking to them.,fiction,2
"If conservatives are wrong to preach that the lesson of the year was the unraveling of a morally bankrupt president, liberals are equally wrong to preach that the lesson was the unraveling of a morally bankrupt prosecutor.",Conservatives preached about the unraveling of a Professor who was morally bankrupt.,slate,2
and uh i i'm just going to keep holding off but i'm definitely going to look for something uh in the you know nice performance you know yeah,I'm just going to buy something right now.,telephone,2
"The most popular journey from Pahalgam is 45 km (27 miles) up to the Amarnath Cave, which has an altitude of some 3,895 m (12,742 ft).","The Amarnath Cave is a little-known treasure, with few people visiting it every year.",travel,2
Newsweek 's cover story predicts Flytrap's long-term impact on American politics and society.,Newsweek states the short-term impacts of Flytrap on America.,slate,2
"Jon looked at him, surprised.",John expected his response and ignored him.,fiction,2
"The organization has already lost some staff through attrition and has turned away some cases, she said.",They are hiring a lot.,government,2
We should not have a heads-I-win and tails-you-lose compensation structure.,We really should have a heads-I-win and tails-you-lose compensation structure.,government,2
They will discover something new each time.,There is nothing more to discover no matter how many times they look.,slate,2
"Imagine if Michael Lasky, the former racing handicapper who ran Inphomation into the ground, had seen two years ago that margins were going to decline, that in the absence of any professional requirements more and more psychics would be entering the market, that the time for infomercials had passed, and that the Psychic Friends brand name had hit its peak.",Michael Lasky thought ahead and steered his business in the right direction before the market changed. ,slate,2
wow that's quite a range,"Wow, they are all the same.",telephone,2
"In the Kannon Hall of this temple is the largest wooden devotional figure in the a statue of the Eleven-Faced Goddess of Mercy, some 10 m (33 ft) high, carved from a single tree trunk and covered in gold leaf.",The Eleven-Faced Goddess of Mercy statue is carved from a solid brick of ice.,travel,2
by an agent who represented i'm not sure of the companies he represented but i was told because you're single they absolutely won't take you i said that is that's prejudicial that's terrible what's going to happen if they all start doing this,It isn't prejudice to ignore single people. ,telephone,2
and then the last Civil War battle was fought at Val Verde you know over there on the Texas border you had a lot of of groups heading for Mexico and they were cut off at the pass more or less at Eagle Pass and they didn't get across the river there so they're the last and that was actually after the war was over but it was the last,The last battle of the Civil War was fought near the California border.,telephone,2
The Roman capital was also located in this region.,"The Roman capital is in a different land far, far away.",travel,2
Consider this memo on a case handled through El Programa Hispano of St. Henry Catholic Community Hispanic Center in ,The handling of cases through the El Programa Hispano are unreliable and you should ignore them.,government,2
"While this approach has led to great strides in under-standing how treatment works, it may not be practical in the real-world setting of the emergency department and may generate studies with little external validity.",The approach may generate studies with excellent external validity,government,2
"By serving as a readily available resource for organization employees, they helped clear up misunderstandings and provided guidance on topics that were not specifically addressed in written guidance.",They could not help with misunderstandings that employees had.  ,government,2
"According to the Coast Guard, the program achieved its results by giving field commanders greater authority and by investing in activities and processes that went most directly to the goal of reducing risks on the water.","The program failed completely after seven months, didn't it?",government,2
"Considered one of the premier diving sites in the world, it encompasses several different underwater environments in addition to coastal shallows where colorful fish thrive in the warm water.",It is one of the most over-rated diving sites in the world.,travel,2
GAO will meet with designated committees and Members regarding the scope and timing of work.,GAO will not meet with the designated committees and members.,government,2
She heaved a sigh of relief as she saw that Mrs. Vandemeyer was lying on the bed.,She was unable to see Mrs. Vandemeyer anywhere in the room,fiction,2
"The small entities include most providers, physicians, and health care suppliers, either by virtue of their non-profit status or by having revenues of $5 million or less annually.",The largest businesses make just over three million dollars a year.,government,2
A Fun Fact You Wouldn't Know Unless You Watched the Sunday  Two babies are twins.,You saw the twins being born on Sunday.,slate,2
"As previously noted, if no material variances occur, arrival and departure times and hours worked per day need not be recorded.","Regardless of whether there's a variance or not, all departure hour are recorded daily.",government,2
He can therefore be considered as the founder of a grand old Louisiana tradition political corruption.,Political integrity is an age old Louisiana tradition and he can be considered a founder of that said tradition.,travel,2
"An article hypes the Hale-Bopp comet, which will be visible for the next month, as the best celestial show in decades.",It will be too cloudy for the next month to view anything going on in the sky.,slate,2
southwest Houston,New York.,telephone,2
sure see uh still some migrant labor is legal you know,all migrant labor is illegal,telephone,2
There is also an attractive 18th-century residence called Ceteau Murat.,Ceteau Murat is a shop which was constructed in 1920. ,travel,2
yeah well i guess we have to get back to hobbies since,I suppose we shouldn't get back to jobs.,telephone,2
"They are left either arguing, preposterously, that Clinton's crimes are just as bad as Nixon's or claiming that Nixon's crimes far exceeded the threshold for impeachable offenses and shouldn't be the standard for judging Clinton's.",They agree that Nixon was clearly worse and is a standard for judging Clinton.,slate,2
oh yeah yeah uh Washington DC um-hum,"Yeah, New York.",telephone,2
because there is so much smoke in the air yeah areas the smoking area you know it's closed in and if you don't if you don't smoke and you go in there that everybody that goes in there smokes so it's full of smoke when when you go in there,People don't smoke in the smoking areas.,telephone,2
"a time when overall agency budgets are under pressure, training budgets are unlikely to increase.","a moment when budgets have wiggle room, training budgets may increase",government,2
Totals may not sum due to rounding.,Totals are completely actual.,government,2
"Include senior program officials heading the user organizations, information resource management officials, and members of senior oversight or steering committees.",The head of the user organizations were new members.,government,2
Estimates based on our long-term growth model suggest that the golden rule saving rate for the United States would be more than 30 percent.,The estimates are based on short-term growth models.,government,2
"Excellent vegetarian meals from appetizers to desserts, prepared to perfection with the addition of fresh fish daily.",They only serve meat.,travel,2
yeah those are good old,Those are terrible contemporary,telephone,2
Each analysis supports a political ideology.,This latest analysis compares the Catholic and Buddhist religions. ,slate,2
 lion-headed goddess Sekhmet (1400 b.c. ) and the colossal Amenophis IV (1370 b.c. ).,Amenophis IV was a dwarf.,travel,2
"Despite his quick climb up the legal ladder, Bailey has always found time to help out in causes he feels strongly about.",Bailey helping out the causes he cares about has caused him to not climb the legal ladder.,government,2
real true that uh you you know they'll say one thing to get elected and then once they do get elected they don't have the power or the authority or the willingness to do those things that they promised you know beforehand,They do the things they promised to do.,telephone,2
Complete documentation of the IPM model can be found //www.epa.gov/airmarkt/epa-ipm/index.html#documentation .,You will not find IPM model documents anywhere.,government,2
have to go replace them with uh something a little hardier,I will replant the same shrubs again.,telephone,2
"Could it be that the rise in stock values reflects the ongoing shift, from labor to capital, of the return to production in our economy?",Does KFC serve cold drinks past 10pm?,slate,2
This may be justified or not--we like him well enough around here!,We detest him.,slate,2
"Quite happy to leave the embroiled politics of national government to Rome, Milan prides itself on being the country's economic, cultural, and design-conscious capital.",Milan is heavily involved in national politics.,travel,2
"Understandably, locals' patience can get a bit frayed by the end of summer.",The locals remain patient throughout the year.,travel,2
"But the most impressive structure is the medieval castle built atop Roman, Hellenistic, and more ancient settlements.",The most impressive structure is the medieval church built atop Roman settlements.,travel,2
A museum in the park is devoted to his life and battles.,A park museum is devoted to animals and plants.,travel,2
"If this ratio is designated as g, ",The ratio is designated as f.,government,2
Such a reorientation might facilitate the process of linking resource allocation to results consistent with GPRA.,There's no need for a reorientation if the goal is to get results that are consistent with the GRPA.,government,2
answer a research question?,There is no need to answer this research question.,government,2
"He looked back up at San'doro, who sat watching the red sun set in the northern sky.","He watched San'doro who was watching the purple, gray and blue sunrise. ",fiction,2
Perhaps the biggest pitfall in this application is insufficient specification of the customer's question.,"The biggest pitfall in this application is certainly the loading time of over 15 seconds, that is unacceptable in our times.",government,2
It was horrible.,It was nice,slate,2
"Spread over three districts are the townships of Ringlet, Tanah Rata ( the main township), and Brinchang.","Spread over seventeen districts are the townships of Kuala Lumpur, Taoi, and Chingchang.",travel,2
"He has competitors also searching for these objects, and what is more, they too are looking for Nachtigel in order to avenge themselves.",Nachtigel is a prize unknown to others.,slate,2
"The park is remarkable chiefly for the National Yoyogi Sports Ceter, comprising two stadiums designed by architect Tange Kenzo.","The park has only tennis and basketball courts, and a fountain.",travel,2
I put it on like a glove! ,I wore it like a sock.,fiction,2
"Renewed pride in France's provincial cities is reducing this trend, but Paris retains its aura of superiority ' and its lack of a distinctive cuisine.",Parisian pride is dropping at higher rates than French citizens in general.,travel,2
well you can get um you can get pressurized lumber,You can't get pressurized lumber.,telephone,2
"In moments of defeat, Cezary Pytlasinski knew how to recover.",Cezary was unsure what to do and didn't stand a chance against his opponent. ,fiction,2
right what time is it over there are you are you in Dallas,What time is it where you are in Alaska?,telephone,2
At Luxor the show is held at Karnak temple (though Luxor temple is floodlit) where visitors spend half the show seated and the other half wandering among the obelisks and columns as the story unfolds.,"The Karnak temple is located in Cairo, 500km from Luxor.",travel,2
"Once, the huge man swung so hard he lost his balance and stumbled forward.",The huge man was so big that he couldn't lose his balance.,fiction,2
It was built by Louis Le Vau in 1668 to harmonize with the Louvre across the river.,Louise Le Vau died in 1668,travel,2
oh can you imagine because it it happens in the middle of the night so the parent,It happens in the middle of the day.,telephone,2
"I am sorry to ask, said San'doro.",San'doro said he had nothing to apologize for.,fiction,2
"The town is still full of sculptors, and Piazza Alberica is the scene of a summer sculpture competition 14 days to produce a masterpiece.",Nearly all the sculptors have left Piazza Alberica for other cities.,travel,2
Then we could have obtained a computer for you and you could have simulated our sky as it should be within your computer and forced it to be repaired long ago.,Then you could have used your magic to repair our sky.,fiction,2
